,domainList,domAffils
187,hillaryis44.org,NA
188,hinterlandgazette.com,moderate
189,historiann.com,NA
190,historyunfolding.blogspot.com,NA
191,hoosieraccess.com,NA
192,hotair.com,conservative
193,hrblogs.typepad.com,NA
194,hurryupharry.org,NA
195,ibloga.blogspot.com,NA
196,idealab.talkingpointsmemo.com,NA
197,immigrationimpact.com,NA
198,independentpoliticalreport.com,NA
199,insideclimatenews.org,moderate
200,inversecondemnation.com,NA
201,irregulartimes.com,NA
202,isteve.blogspot.com,conservative
203,iwpr.org,NA
204,jamespwillis.blogspot.com,NA
205,jammiewf.com,conservative
206,jatticus.wordpress.com,NA
207,jeffwinbush.com,liberal
208,jeh15.wordpress.com,NA
209,jessescrossroadscafe.blogspot.com,NA
210,jesuslives.co.za,NA
211,joemygod.blogspot.com,NA
212,johnrlott.blogspot.com,NA
213,jonathanturley.org,liberal
214,joshuapundit.blogspot.com,conservative
215,juancole.com,liberal
216,judgesonmerit.org,NA
217,juliansanchez.com,conservative
218,justabovesunset.wordpress.com,NA
219,justoneminute.typepad.com,moderate
220,justsaynow.firedoglake.com,NA
221,keithhennessey.com,NA
222,ken_ashford.typepad.com,NA
223,kingfish1935.blogspot.com,NA
224,krugman.blogs.nytimes.com,NA
225,ktcatspost.blogspot.com,NA
226,laborunionreport.com,NA
227,lafiga.firedoglake.com,NA
228,lagringasblogicito.blogspot.com,NA
229,laobserved.com,moderate
230,law.marquette.edu,NA
231,legalbuds.net,NA
232,legalinsurrection.com,conservative
233,legalplanet.wordpress.com,NA
234,legalschnauzer.blogspot.com,NA
235,legaltimes.typepad.com,NA
236,liberalconspiracy.org,NA
237,liberaloasis.com,NA
238,liberalvaluesblog.com,NA
239,libertarian-neocon.blogspot.com,conservative
240,libertarianalliance.wordpress.com,NA
241,libertarianchristians.com,NA
242,libertystreet.wordpress.com,NA
243,libertystreeteconomics.newyorkfed.org,NA
244,litigationandtrial.com,NA
245,littlegreenfootballs.com,liberal
246,livewire.talkingpointsmemo.com,NA
247,lnmc.crooksandliars.com,NA
248,lonelyconservative.com,conservative
249,longwarjournal.org,NA
250,loonwatch.com,NA
251,m.spokesman.com,NA
252,maggiesnotebook.com,conservative
253,mahablog.com,liberal
254,malcontends.blogspot.com,NA
255,marathonpundit.blogspot.com,conservative
256,marcmasferrer.typepad.com,NA
257,marezilla.com,NA
258,marginalrevolution.com,liberal
259,markcrispinmiller.com,NA
260,masonconservative.typepad.com,NA
261,massdiscussion.blogspot.com,NA
262,mediabistro.com,moderate
263,mediaite.com,moderate
264,mediamatters.org,liberal
265,mererhetoric.com,NA
266,mgpaquin.wordpress.com,NA
267,miamiherald.typepad.com,liberal
268,michael-in-norfolk.blogspot.com,NA
269,michaelklonsky.blogspot.com,conservative
270,michaelnugent.com,NA
271,michellemalkin.com,conservative
272,michellesmirror.com,conservative
273,middleclasspoliticaleconomist.blogspot.com,NA
274,mitchellplitnick.com,NA
275,modeducation.blogspot.com,NA
276,moelane.com,NA
277,mofopolitics.com,NA
278,monbiot.com,NA
279,moneyedpoliticians.net,NA
280,moneymorning.com,NA
281,monicamemo.typepad.com,NA
282,moot.typepad.com,NA
283,motherjones.com,liberal
284,motorcitytimes.com,NA
285,mrc.org,NA
286,my.firedoglake.com,NA
287,nakedcapitalism.com,NA
288,ncpa.org,NA
289,neoneocon.com,conservative
290,newamerica.net,NA
291,newgeography.com,NA
292,news.firedoglake.com,NA
293,news.talkingpointsmemo.com,NA
294,newsone.com,NA
295,newstalgia.crooksandliars.com,NA
296,nhinsider.com,NA
297,nhpr.org,NA
298,nicedeb.wordpress.com,conservative
299,niqnaq.wordpress.com,NA
300,noisyroom.net,conservative
301,nomoremister.blogspot.com,liberal
302,normanhooben.blogspot.com,NA
303,northdecoder.com,NA
304,notlarrysabato.typepad.com,NA
305,nwprogressive.org,NA
306,occasionalplanet.org,NA
307,occidentaldissent.com,NA
308,occupyamerica.crooksandliars.com,NA
309,ochairball.blogspot.com,NA
310,ohio15th.blogspot.com,NA
311,ohiodailyblog.com,NA
312,openmarket.org,conservative
313,opensecrets.org,moderate
314,opinion-forum.com,NA
315,ordinary-gentlemen.com,moderate
316,outsidethebeltway.com,NA
317,overlawyered.com,conservative
318,pageonekentucky.com,NA
319,pamshouseblend.firedoglake.com,NA
320,papundits.wordpress.com,NA
321,paradigmsanddemographics.blogspot.com,conservative
322,patdollard.com,NA
323,patricksperry.wordpress.com,conservative
324,patriotboy.blogspot.com,conservative
325,patriotwarrior.org,NA
326,patterico.com,conservative
327,peachpundit.com,conservative
328,pensitoreview.com,NA
329,pinknews.co.uk,NA
330,pleasecutthecrap.typepad.com,NA
331,plunderbund.com,NA
332,pnhp.org,NA
333,polhudson.lohudblogs.com,NA
334,politicalticker.blogs.cnn.com,liberal
335,politicomafioso.blogspot.com,NA
336,politisite.com,NA
337,popehat.com,conservative
338,powerofnarrative.blogspot.com,NA
339,prairieweather.typepad.com,NA
340,prawfsblawg.blogs.com,moderate
341,preaprez.wordpress.com,liberal
342,professorbainbridge.com,NA
343,progressillinois.com,NA
344,progressiveerupts.blogspot.com,liberal
345,prospect.org,liberal
346,publiusforum.com,conservative
347,pumasunleashed.wordpress.com,conservative
348,punditandpundette.com,conservative
349,purpleunions.com,NA
350,queerty.com,NA
351,quiscus.wordpress.com,NA
352,race42012.com,NA
353,randysroundtable.blogspot.com,conservative
354,rawstory.com,liberal
355,reason.com,conservative
356,redflagnews.com,NA
357,redstate.com,conservative
358,reflectionsofarationalrepublican.com,NA
359,religionclause.blogspot.com,NA
360,richardhowe.com,NA
361,ricks.foreignpolicy.com,NA
362,ricochet.com,NA
363,righttruth.typepad.com,conservative
364,rightwingliberal.wordpress.com,NA
365,rightwingnews.com,NA
366,rightwingwatch.org,liberal
367,rising-hegemon.blogspot.com,NA
368,ritholtz.com,NA
369,riverdaughter.wordpress.com,liberal
370,roaringrepublican.com,NA
371,roarkmj.blogspot.com,NA
372,rogerailes.blogspot.com,liberal
373,rogerpielkejr.blogspot.com,NA
374,rturner229.blogspot.com,NA
375,rumromanismrebellion.net,NA
376,rwcg.wordpress.com,conservative
377,sandrarose.com,liberal
378,sayanythingblog.com,NA
379,saysuncle.com,NA
380,scholarsandrogues.com,moderate
381,scotusblog.com,NA
382,scpronet.com,NA
383,seeingredaz.wordpress.com,NA
384,sentencing.typepad.com,moderate
385,sentryjournal.com,conservative
386,shadow.foreignpolicy.com,NA
387,shakesville.com,liberal
388,shark-tank.net,conservative
389,simplyleftbehind.blogspot.com,NA
390,sisu.typepad.com,NA
391,skydancingblog.com,moderate
392,smallwarsjournal.com,NA
393,sonoranalliance.com,conservative
394,speakwithauthority-jsm.blogspot.com,NA
395,spokesman.com,moderate
396,startthinkingright.wordpress.com,conservative
397,statepolitics.lohudblogs.com,NA
398,stoptheaclu.com,NA
399,sultanknish.blogspot.com,conservative
400,susiemadrak.com,NA
401,swacgirl.blogspot.com,NA
402,swordattheready.wordpress.com,NA
403,tammybruce.com,conservative
404,tarpon.wordpress.com,conservative
405,taxfoundation.org,NA
406,taxjustice.blogspot.com,NA
407,taxprof.typepad.com,NA
408,taylormarsh.com,moderate
409,tbogg.firedoglake.com,conservative
410,techdirt.com,NA
411,texasfred.net,NA
412,texasgopvote.com,NA
413,texaslawyer.typepad.com,NA
414,the-classic-liberal.com,NA
415,the-reaction.blogspot.com,NA
416,the-richmonder.com,NA
417,theaugeanstables.com,NA
418,theblaze.com,conservative
419,thecable.foreignpolicy.com,NA
420,thecitysquare.blogspot.com,NA
421,theconglomerate.org,NA
422,thedaleygator.wordpress.com,conservative
423,thedemocraticstrategist.org,NA
424,theimmoralminority.blogspot.com,NA
425,theimpolitic.blogspot.com,NA
426,theincidentaleconomist.com,NA
427,thelibertypapers.org,NA
428,themoderatevoice.com,moderate
429,thenewcivilrightsmovement.com,liberal
430,theospark.net,NA
431,thepeoplesview.net,NA
432,thepinkflamingoblog.com,conservative
433,thepiratescove.us,conservative
434,thepoliticalcarnival.net,liberal
435,thepoliticalenvironment.blogspot.com,liberal
436,therightplanet.com,conservative
437,theuglytruth.wordpress.com,NA
438,theusreport.com,NA
439,thewildernessofmirrors.wordpress.com,NA
440,thinkmarkets.wordpress.com,NA
441,thinkprogress.org,liberal
442,thomasjeffersonclubblog.wordpress.com,NA
443,thoughtsandrantings.com,NA
444,threesurethingsoflife.wordpress.com,NA
445,thurbersthoughts.blogspot.com,conservative
446,tigerhawk.blogspot.com,NA
447,togetrichisglorious.blogspot.com,NA
448,towleroad.com,NA
449,tpmdc.talkingpointsmemo.com,NA
450,tpmmuckraker.talkingpointsmemo.com,NA
451,trailblazersblog.dallasnews.com,NA
452,transgriot.blogspot.com,NA
453,trevorloudon.com,conservative
454,truth-2-power.com,NA
455,truthdig.com,liberal
456,unitedliberty.org,NA
457,uppitywis.org,NA
458,uprisingradio.org,NA
459,valley-of-the-shadow.blogspot.com,NA
460,varight.com,conservative
461,video.feministing.com,NA
462,videocafe.crooksandliars.com,NA
463,voxverax.blogspot.com,NA
464,xpostfactoid.blogspot.com,liberal
465,yidwithlid.blogspot.com,conservative
466,zandarvts.blogspot.com,NA
467,zerohedge.com,conservative
